Customer_Id,Gender,Age,Married,State,Number_of_referrals,Tenure in months,Value deal,Phone service,Multiple_lines,Internet service,Internet type,Online security,Online backup,Device protection plan,Premium support,Streaming TV,Streaming movies,Streaming music,Unlimited data,Contract,Paperless billing,Payment method,Monthly charge,Total charges,Total refunds,Total extra data charges,Total long distance charges,Total revenue,Customer status,Churn category,Churn reason
CUSTJ0021,Female,36,Yes,Florida,1,53,Yes,Yes,Yes,No,Cable,Yes,Yes,No,No,Yes,No,No,No,One year,No,Mailed check,119.89,8054.63,6.46,28.73,154.41,8231.31,Joined,,
CUSTJ0022,Male,71,No,New York,5,50,No,Yes,No,No,Cable,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.76,8938.57,32.39,101.41,203.93,9211.52,Joined,,
CUSTJ0023,Female,33,No,California,5,48,No,Yes,No phone service,No,Cable,Yes,No,Yes,Yes,No,Yes,No,No,One year,No,Credit card,111.82,775.54,18.8,23.52,217.4,997.66,Joined,,
CUSTJ0024,Female,75,No,Illinois,4,53,Yes,No,No phone service,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,42.62,3222.92,80.95,35.73,148.33,3326.03,Joined,,
CUSTJ0025,Male,28,Yes,Texas,2,1,No,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,119.66,6061.74,158.82,57.57,137.32,6097.81,Joined,,
CUSTJ0026,Female,33,Yes,Illinois,1,71,No,Yes,No,No,Cable,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,88.65,4959.71,76.7,25.25,56.31,4964.57,Joined,,
CUSTJ0027,Male,44,No,Texas,2,52,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer,75.5,8306.01,81.02,25.75,16.67,8267.41,Joined,,
CUSTJ0028,Male,21,Yes,California,5,6,Yes,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.89,4768.65,182.59,132.52,152.95,4871.53,Joined,,
CUSTJ0029,Male,61,No,Florida,2,69,No,No,No phone service,No,Cable,No,No,No,No,No,Yes,No,Yes,Two year,No,Bank transfer,79.66,1056.12,25.92,106.43,22.85,1159.48,Joined,,
CUSTJ0030,Female,30,No,Texas,5,30,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,76.78,8977.88,146.79,133.31,139.5,9103.9,Joined,,
CUSTJ0031,Female,74,Yes,Texas,3,16,No,No,No phone service,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,No,Two year,No,Mailed check,83.82,4184.16,72.4,129.19,53.77,4294.72,Joined,,
CUSTJ0032,Male,20,No,Texas,4,39,Yes,No,No,No,Cable,No,No,No,No,No,No,Yes,No,One year,No,Credit card,58.0,2176.44,6.79,115.93,181.36,2466.94,Joined,,
CUSTJ0033,Female,47,No,California,5,26,No,No,No phone service,Yes,DSL,No,Yes,No,Yes,No,No,No,No,One year,Yes,Electronic check,114.25,2966.84,181.27,115.97,102.46,3004.0,Joined,,
CUSTJ0034,Female,27,No,Florida,3,16,No,No,No phone service,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,39.61,7483.46,88.34,22.98,62.82,7480.92,Joined,,
CUSTJ0035,Male,52,No,Illinois,2,52,No,Yes,No phone service,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,79.16,6285.69,75.5,111.9,99.44,6421.53,Joined,,
CUSTJ0036,Female,37,No,New York,5,29,No,No,No phone service,No,Fiber optic,No,No,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer,116.21,1915.35,111.46,17.82,164.42,1986.13,Joined,,
CUSTJ0037,Female,48,No,Florida,2,9,Yes,Yes,Yes,No,Cable,No,Yes,No,No,No,No,Yes,No,Two year,No,Mailed check,69.46,6881.08,78.27,86.34,249.69,7138.84,Joined,,
CUSTJ0038,Female,61,Yes,Florida,4,47,Yes,Yes,Yes,No,DSL,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,119.55,5129.84,92.37,139.02,175.93,5352.42,Joined,,
CUSTJ0039,Male,56,No,Florida,5,31,No,No,No phone service,Yes,DSL,No,No,No,No,Yes,No,No,No,Two year,No,Electronic check,42.28,6889.76,45.04,97.12,215.14,7156.98,Joined,,
CUSTJ0040,Female,23,No,New York,3,70,Yes,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,56.56,3925.35,121.53,61.09,110.9,3975.81,Joined,,
CUSTJ0041,Male,63,Yes,Texas,4,41,Yes,Yes,No,No,Cable,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,86.57,4634.16,59.74,2.66,296.06,4873.14,Joined,,
CUSTJ0042,Female,61,No,Florida,5,39,Yes,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,No,No,No,One year,Yes,Mailed check,39.96,6181.78,175.19,7.09,226.44,6240.12,Joined,,
CUSTJ0043,Female,77,Yes,New York,4,42,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card,44.17,7098.83,69.7,83.92,36.75,7149.8,Joined,,
CUSTJ0044,Male,30,No,Illinois,0,27,Yes,Yes,No phone service,No,Fiber optic,No,Yes,No,Yes,No,Yes,No,No,One year,No,Credit card,30.13,260.55,153.22,111.58,5.66,224.57,Joined,,
CUSTJ0045,Female,56,No,Texas,2,56,Yes,No,No,Yes,Cable,No,No,No,No,Yes,No,Yes,No,One year,Yes,Credit card,81.83,2940.32,34.77,31.2,98.56,3035.31,Joined,,
CUSTJ0046,Male,33,No,Texas,2,61,No,No,Yes,No,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,61.6,7124.65,81.72,104.25,121.77,7268.95,Joined,,
CUSTJ0047,Female,29,Yes,Texas,3,72,Yes,Yes,Yes,No,Cable,No,No,No,No,Yes,No,No,No,Two year,Yes,Electronic check,64.02,5230.11,34.28,25.9,130.55,5352.28,Joined,,
CUSTJ0048,Male,30,No,California,2,72,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,89.26,7198.07,127.15,52.95,239.73,7363.6,Joined,,
CUSTJ0049,Male,62,Yes,Illinois,0,61,Yes,Yes,No phone service,No,Cable,Yes,Yes,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,113.59,5679.59,27.58,86.74,286.6,6025.35,Joined,,
CUSTJ0050,Female,25,No,California,5,68,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer,114.62,8770.68,100.78,20.11,227.04,8917.05,Joined,,
CUSTJ0051,Female,61,No,Texas,2,35,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,53.19,1891.73,79.75,56.56,260.3,2128.84,Joined,,
CUSTJ0052,Female,25,No,Illinois,4,41,Yes,No,No phone service,No,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,32.56,546.66,19.86,24.71,218.6,770.11,Joined,,
CUSTJ0053,Female,72,No,Illinois,4,58,Yes,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,57.17,442.12,83.75,27.45,180.96,566.78,Joined,,
CUSTJ0054,Male,42,No,Texas,4,68,Yes,Yes,No phone service,No,Cable,No,No,Yes,No,No,No,No,No,One year,Yes,Mailed check,104.11,7477.66,167.62,66.16,170.76,7546.96,Joined,,
CUSTJ0055,Female,53,No,Texas,4,47,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,33.89,6731.23,102.95,112.26,147.13,6887.67,Joined,,
CUSTJ0056,Female,44,Yes,New York,2,27,No,No,Yes,No,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,56.64,6846.11,156.84,63.6,180.09,6932.96,Joined,,
CUSTJ0057,Female,45,No,New York,4,51,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.39,5553.22,4.04,23.18,220.33,5792.69,Joined,,
CUSTJ0058,Female,76,No,New York,3,11,Yes,Yes,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,No,Yes,One year,No,Credit card,103.51,8072.08,96.71,119.45,109.49,8204.31,Joined,,
CUSTJ0059,Male,54,Yes,California,2,26,No,Yes,No phone service,No,Cable,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,74.76,7005.13,42.72,74.7,210.11,7247.22,Joined,,
CUSTJ0060,Male,43,No,Illinois,0,29,No,No,No phone service,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,40.15,746.66,159.3,22.46,59.86,669.68,Joined,,
CUSTJ0061,Male,52,Yes,New York,1,32,Yes,No,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,80.13,4173.96,32.27,76.08,187.79,4405.56,Joined,,
CUSTJ0062,Female,64,No,New York,5,56,Yes,No,No phone service,Yes,Cable,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,98.81,6001.07,66.05,65.61,271.17,6271.8,Joined,,
CUSTJ0063,Female,38,Yes,California,5,48,Yes,Yes,Yes,No,Cable,No,Yes,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer,24.4,1251.18,78.68,135.58,122.4,1430.48,Joined,,
CUSTJ0064,Male,47,Yes,Florida,0,60,No,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,73.52,1138.37,123.27,93.43,80.37,1188.9,Joined,,
CUSTJ0065,Female,42,Yes,Illinois,5,55,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card,56.45,5274.4,172.4,70.56,24.5,5197.06,Joined,,
CUSTJ0066,Female,40,Yes,New York,1,1,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,99.24,2585.12,41.28,115.07,58.98,2717.89,Joined,,
CUSTJ0067,Female,76,No,New York,3,45,No,No,No,Yes,Cable,No,No,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,94.67,6340.7,73.4,2.44,255.07,6524.81,Joined,,
CUSTJ0068,Male,44,Yes,Florida,4,20,Yes,Yes,No phone service,Yes,No,No,No,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,96.72,5978.77,196.26,118.8,48.65,5949.96,Joined,,
CUSTJ0069,Female,69,Yes,Florida,1,43,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,62.8,5230.68,93.68,132.01,202.98,5471.99,Joined,,
CUSTJ0070,Male,56,Yes,Illinois,5,3,No,No,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card,57.73,2610.66,160.59,141.73,271.56,2863.36,Joined,,
CUSTJ0071,Male,68,Yes,California,5,12,No,Yes,No phone service,No,DSL,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,113.51,5763.7,103.34,4.08,239.9,5904.34,Joined,,
CUSTJ0072,Male,22,No,California,1,40,No,Yes,Yes,No,Cable,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,99.47,3174.75,120.76,114.75,178.63,3347.37,Joined,,
CUSTJ0073,Male,66,No,Illinois,2,71,Yes,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,55.76,5984.75,64.36,70.67,40.6,6031.66,Joined,,
CUSTJ0074,Male,18,Yes,Texas,5,33,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,75.53,4256.06,90.38,126.14,243.4,4535.22,Joined,,
CUSTJ0075,Male,60,Yes,Florida,1,32,Yes,Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,55.27,2034.08,109.45,92.64,234.58,2251.85,Joined,,
CUSTJ0076,Male,54,Yes,Illinois,3,8,Yes,No,No phone service,Yes,Fiber optic,No,No,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,73.63,575.17,91.0,115.57,164.11,763.85,Joined,,
CUSTJ0077,Male,33,Yes,New York,2,4,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,75.17,7697.89,138.32,10.67,238.19,7808.43,Joined,,
CUSTJ0078,Female,73,Yes,New York,5,15,No,No,No phone service,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,115.33,6896.75,56.91,3.98,299.32,7143.14,Joined,,
CUSTJ0079,Male,79,No,California,3,48,No,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer,89.1,2900.51,110.51,48.57,117.37,2955.94,Joined,,
CUSTJ0080,Male,31,No,California,3,22,No,Yes,No phone service,Yes,DSL,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,27.2,4773.22,92.82,87.28,101.79,4869.47,Joined,,
CUSTJ0081,Female,33,Yes,Florida,1,16,No,No,No phone service,Yes,No,No,No,No,No,No,No,No,Yes,Month-to-month,No,Credit card,36.03,1324.58,186.64,130.93,167.5,1436.37,Joined,,
CUSTJ0082,Female,51,No,California,2,67,Yes,No,No,No,DSL,Yes,No,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer,54.9,7467.53,146.82,137.67,83.05,7541.43,Joined,,
CUSTJ0083,Male,62,Yes,New York,5,70,No,No,No phone service,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No,No,Two year,Yes,Credit card,104.0,8346.99,183.84,129.88,299.25,8592.28,Joined,,
CUSTJ0084,Male,35,No,Illinois,0,67,No,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card,73.53,6033.24,80.12,105.17,260.42,6318.71,Joined,,
CUSTJ0085,Female,52,Yes,Texas,5,38,No,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,One year,No,Bank transfer,91.33,4329.61,18.68,139.83,184.93,4635.69,Joined,,
CUSTJ0086,Female,34,Yes,New York,0,13,No,No,No phone service,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,34.86,1360.15,126.36,137.21,117.41,1488.41,Joined,,
CUSTJ0087,Female,75,Yes,California,1,6,Yes,No,No phone service,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,68.52,3215.54,172.93,86.35,284.73,3413.69,Joined,,
CUSTJ0088,Male,47,Yes,Illinois,3,4,No,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,29.99,5150.95,142.33,123.02,229.76,5361.4,Joined,,
CUSTJ0089,Male,38,Yes,California,3,40,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,89.43,2552.69,125.78,91.38,21.35,2539.64,Joined,,
CUSTJ0090,Male,72,Yes,Illinois,2,2,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,94.92,8526.42,19.91,72.62,79.86,8658.99,Joined,,
CUSTJ0091,Male,25,No,New York,2,66,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,No,One year,Yes,Bank transfer,42.15,3677.82,126.75,109.37,270.58,3931.02,Joined,,
CUSTJ0092,Female,23,Yes,Florida,4,39,No,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,No,Two year,No,Electronic check,65.44,1922.47,6.47,88.21,189.15,2193.36,Joined,,
CUSTJ0093,Female,18,No,California,2,2,No,Yes,No phone service,Yes,No,Yes,Yes,No,No,No,No,No,Yes,One year,Yes,Mailed check,37.66,7371.66,161.55,9.36,20.27,7239.74,Joined,,
CUSTJ0094,Female,34,No,California,4,51,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,20.17,265.37,78.81,115.59,257.51,559.66,Joined,,
CUSTJ0095,Female,22,No,Illinois,2,65,No,Yes,No phone service,No,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,88.62,8926.05,150.98,133.91,106.32,9015.3,Joined,,
CUSTJ0096,Male,32,Yes,Texas,1,2,No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,55.77,6379.37,47.73,115.69,56.64,6503.97,Joined,,
CUSTJ0097,Female,53,No,Texas,5,20,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer,111.83,7214.58,173.67,33.04,129.93,7203.88,Joined,,
CUSTJ0098,Male,58,Yes,California,2,30,No,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card,104.68,5140.53,137.24,77.47,139.27,5220.03,Joined,,
CUSTJ0099,Male,45,Yes,Florida,5,63,No,No,Yes,No,Cable,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,94.08,8545.44,100.51,105.73,103.37,8654.03,Joined,,
CUSTJ0100,Male,57,Yes,Illinois,1,59,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,Yes,No,One year,No,Mailed check,36.09,7910.86,166.3,28.74,57.56,7830.86,Joined,,
CUSTJ0101,Female,78,Yes,Florida,2,28,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,60.15,5190.88,186.81,22.56,223.33,5249.96,Joined,,
CUSTJ0102,Female,71,No,Illinois,3,31,Yes,Yes,No phone service,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,48.11,4860.64,109.63,148.7,121.64,5021.35,Joined,,
CUSTJ0103,Male,33,No,New York,4,8,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,48.17,1477.66,66.28,1.68,277.48,1690.54,Joined,,
CUSTJ0104,Female,70,Yes,Illinois,3,20,Yes,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer,64.97,8647.05,38.77,41.9,0.12,8650.3,Joined,,
CUSTJ0105,Male,76,Yes,Texas,1,36,Yes,Yes,Yes,No,Cable,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer,43.73,1971.94,25.28,93.74,89.31,2129.71,Joined,,
CUSTJ0106,Male,69,Yes,California,2,15,No,No,No phone service,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card,85.7,4193.27,79.39,11.04,73.48,4198.4,Joined,,
CUSTJ0107,Male,39,No,New York,3,7,Yes,No,Yes,No,Cable,Yes,No,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,41.68,5996.22,117.67,125.07,137.21,6140.83,Joined,,
CUSTJ0108,Male,65,No,Texas,4,12,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer,110.46,7372.22,46.56,13.7,66.93,7406.29,Joined,,
CUSTJ0109,Female,71,No,Texas,4,16,Yes,Yes,No phone service,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,98.81,3997.17,178.1,6.49,45.07,3870.63,Joined,,
CUSTJ0110,Male,68,Yes,Florida,4,63,No,No,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,109.07,2587.08,25.53,76.6,222.31,2860.46,Joined,,
CUSTJ0111,Male,72,Yes,New York,2,14,Yes,No,No phone service,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card,35.64,6307.96,136.54,67.34,8.27,6247.03,Joined,,
CUSTJ0112,Female,64,No,Texas,0,25,No,No,No phone service,No,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.28,3902.02,143.39,134.04,96.99,3989.66,Joined,,
CUSTJ0113,Female,38,Yes,California,5,10,Yes,No,No phone service,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,31.84,6108.35,88.43,45.98,68.81,6134.71,Joined,,
CUSTJ0114,Female,28,Yes,California,5,11,No,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,110.42,1562.89,190.82,137.81,188.55,1698.43,Joined,,
CUSTJ0115,Male,21,No,New York,0,62,No,Yes,No,No,Cable,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,117.72,2084.32,194.16,83.31,5.7,1979.17,Joined,,
CUSTJ0116,Male,73,Yes,California,5,53,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,99.35,1515.12,131.64,40.23,199.52,1623.23,Joined,,
CUSTJ0117,Male,47,No,Texas,5,59,Yes,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,29.38,6629.24,127.89,120.29,136.67,6758.31,Joined,,
CUSTJ0118,Female,34,No,New York,1,32,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,105.49,3265.69,16.22,26.56,135.86,3411.89,Joined,,
CUSTJ0119,Female,33,Yes,Illinois,1,63,Yes,No,No phone service,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,72.58,133.88,178.53,62.8,108.66,126.81,Joined,,
CUSTJ0120,Male,26,No,Texas,4,1,No,Yes,No phone service,No,Cable,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,99.78,8545.68,40.0,100.92,291.95,8898.55,Joined,,
CUSTJ0121,Male,68,Yes,Florida,3,66,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card,77.06,8571.38,155.58,101.56,228.7,8746.06,Joined,,
CUSTJ0122,Male,32,Yes,Florida,1,51,Yes,Yes,No,Yes,Cable,Yes,No,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer,60.26,3064.44,199.46,124.0,168.22,3157.2,Joined,,
CUSTJ0123,Male,63,Yes,Illinois,5,20,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer,62.6,3628.16,19.43,142.6,223.93,3975.26,Joined,,
